game_id,game_date,home_team,away_team,start_time,hour,minute,second,actual_hour
2016_01_PIT_WAS,9/12/2016,WAS,PIT,19:11:15,19,11,15,19
2016_04_IND_JAX,10/2/2016,JAX,IND,9:35:34,9,35,34,9
2016_07_NYG_LA,10/23/2016,LA,NYG,9:31:43,9,31,43,9
2016_08_WAS_CIN,10/30/2016,CIN,WAS,9:36:04,9,36,4,9
2016_12_MIN_DET,11/24/2016,DET,MIN,12:41:40,12,41,40,12
2017_01_LAC_DEN,9/11/2017,DEN,LAC,22:21:17,22,21,17,20
2017_01_NO_MIN,9/11/2017,MIN,NO,19:10:42,19,10,42,19
2017_03_BAL_JAX,9/24/2017,JAX,BAL,9:35:34,9,35,34,13
2017_04_NO_MIA,10/1/2017,MIA,NO,9:35:43,9,35,43,9
2017_08_MIN_CLE,10/29/2017,CLE,MIN,9:30:22,9,30,22,9
2017_12_MIN_DET,11/23/2017,DET,MIN,12:35:26,12,35,26,12
2018_01_ATL_PHI,9/6/2018,PHI,ATL,21:05:29,21,5,29,20
2018_01_LA_OAK,9/10/2018,LV,LA,22:20:36,22,20,36,22
2018_01_NYJ_DET,9/10/2018,DET,NYJ,19:10:37,19,10,37,19
2018_07_TEN_LAC,10/21/2018,LAC,TEN,9:36:03,9,36,3,9
2018_08_PHI_JAX,10/28/2018,JAX,PHI,9:35:25,9,35,25,9
2018_12_CHI_DET,11/22/2018,DET,CHI,12:38:30,12,38,30,12
2018_13_IND_JAX,12/2/2018,JAX,IND,14:14:37,14,14,37,13
2019_01_DEN_OAK,9/9/2019,LV,DEN,22:20:18,22,20,18,22
2019_01_HOU_NO,9/9/2019,NO,HOU,19:10:35,19,10,35,19
2019_02_TB_CAR,9/12/2019,CAR,TB,21:13:48,21,13,48,20
2019_06_CAR_TB,10/13/2019,TB,CAR,9:35:30,9,35,30,9
2019_09_HOU_JAX,11/3/2019,JAX,HOU,9:35:40,9,35,40,9
2019_13_CHI_DET,11/28/2019,DET,CHI,12:35:42,12,35,42,12
2020_01_PIT_NYG,9/14/2020,NYG,PIT,19:10:16,19,10,16,19
2020_01_TEN_DEN,9/14/2020,DEN,TEN,22:20:30,22,20,30,22
2020_04_ATL_GB,10/5/2020,GB,ATL,21:00:45,21,0,45,20
2020_04_NE_KC,10/5/2020,KC,NE,19:05:57,19,5,57,20
2020_05_BUF_TEN,10/13/2020,TEN,BUF,19:05:28,19,5,28,13
