game_id,game_date,home_team,away_team,start_time,hour,minute,second
2003_17_PIT_BAL,2003-12-28,BAL,PIT,15:37:05,15,37,5
2003_17_SEA_SF,2003-12-27,SF,SEA,09:15:50,9,15,50
2003_17_STL_DET,2003-12-28,DET,LA,08:03:20,8,3,20
2003_17_TB_TEN,2003-12-28,TEN,TB,07:03:34,7,3,34
2003_18_DAL_CAR,2004-01-03,CAR,DAL,15:09:19,15,9,19
2003_18_DEN_IND,2004-01-04,IND,DEN,11:48:22,11,48,22
2003_18_SEA_GB,2004-01-04,GB,SEA,07:04:57,7,4,57
2003_18_TEN_BAL,2004-01-03,BAL,TEN,11:38:13,11,38,13
2003_19_CAR_STL,2004-01-10,LA,CAR,10:36:07,10,36,7
2003_19_GB_PHI,2004-01-11,PHI,GB,11:46:37,11,46,37
2003_19_IND_KC,2004-01-11,KC,IND,07:06:41,7,6,41
2003_19_TEN_NE,2004-01-10,NE,TEN,15:15:51,15,15,51
2003_20_IND_NE,2004-01-18,NE,IND,10:06:04,10,6,4
2003_21_CAR_NE,2004-02-01,NE,CAR,12:28:08,12,28,8
2004_01_ARI_STL,2004-09-12,LA,ARI,08:06:02,8,6,2
2004_01_ATL_SF,2004-09-12,SF,ATL,09:19:42,9,19,42
2004_01_BAL_CLE,2004-09-12,CLE,BAL,09:07:44,9,7,44
2004_01_CIN_NYJ,2004-09-12,NYJ,CIN,09:07:23,9,7,23
2004_01_DAL_MIN,2004-09-12,MIN,DAL,11:19:24,11,19,24
2004_01_DET_CHI,2004-09-12,CHI,DET,08:06:38,8,6,38
2004_01_GB_CAR,2004-09-13,CAR,GB,17:09:31,17,9,31
2004_01_IND_NE,2004-09-09,NE,IND,17:09:09,17,9,9
2004_01_JAX_BUF,2004-09-12,BUF,JAX,09:06:27,9,6,27
2004_01_KC_DEN,2004-09-12,DEN,KC,14:39:29,14,39,29
2004_01_NYG_PHI,2004-09-12,PHI,NYG,12:21:34,12,21,34
2004_01_OAK_PIT,2004-09-12,PIT,LV,09:05:36,9,5,36
2004_01_SD_HOU,2004-09-12,HOU,LAC,08:05:35,8,5,35
2004_01_SEA_NO,2004-09-12,NO,SEA,08:06:19,8,6,19
2004_01_TB_WAS,2004-09-12,WAS,TB,09:14:59,9,14,59
2004_01_TEN_MIA,2004-09-11,MIA,TEN,09:07:18,9,7,18
2004_02_BUF_OAK,2004-09-19,LV,BUF,09:15:58,9,15,58
2004_02_CAR_KC,2004-09-19,KC,CAR,08:02:52,8,2,52
2004_02_CHI_GB,2004-09-19,GB,CHI,08:02:38,8,2,38
2004_02_CLE_DAL,2004-09-19,DAL,CLE,11:15:37,11,15,37
2004_02_DEN_JAX,2004-09-19,JAX,DEN,09:02:40,9,2,40
2004_02_HOU_DET,2004-09-19,DET,HOU,09:03:57,9,3,57
2004_02_IND_TEN,2004-09-19,TEN,IND,08:02:54,8,2,54
2004_02_MIN_PHI,2004-09-20,PHI,MIN,17:09:16,17,9,16
2004_02_NE_ARI,2004-09-19,ARI,NE,09:15:30,9,15,30
2004_02_NYJ_SD,2004-09-19,LAC,NYJ,09:15:33,9,15,33
2004_02_PIT_BAL,2004-09-19,BAL,PIT,09:02:24,9,2,24
2004_02_SEA_TB,2004-09-19,TB,SEA,12:05:14,12,5,14
2004_02_SF_NO,2004-09-19,NO,SF,08:03:18,8,3,18
2004_02_STL_ATL,2004-09-19,ATL,LA,09:03:27,9,3,27
2004_02_WAS_NYG,2004-09-19,NYG,WAS,09:04:03,9,4,3
2004_03_ARI_ATL,2004-09-26,ATL,ARI,09:18:07,9,18,7
2004_03_BAL_CIN,2004-09-26,CIN,BAL,09:02:54,9,2,54
2004_03_CHI_MIN,2004-09-26,MIN,CHI,08:14:38,8,14,38
2004_03_CLE_NYG,2004-09-26,NYG,CLE,09:17:00,9,17,0
2004_03_DAL_WAS,2004-09-27,WAS,DAL,17:09:23,17,9,23
2004_03_GB_IND,2004-09-26,IND,GB,11:15:03,11,15,3
2004_03_HOU_KC,2004-09-26,KC,HOU,08:02:14,8,2,14
2004_03_JAX_TEN,2004-09-26,TEN,JAX,08:02:24,8,2,24
2004_03_NO_STL,2004-09-26,LA,NO,08:03:17,8,3,17
2004_03_PHI_DET,2004-09-26,DET,PHI,09:03:03,9,3,3
2004_03_SD_DEN,2004-09-26,DEN,LAC,10:05:35,10,5,35
2004_03_SF_SEA,2004-09-26,SEA,SF,09:16:06,9,16,6
2004_04_ATL_CAR,2004-10-03,CAR,ATL,12:05:09,12,5,9
2004_04_CIN_PIT,2004-10-03,PIT,CIN,09:02:05,9,2,5
2004_04_DEN_TB,2004-10-03,TB,DEN,12:15:05,12,15,5
2004_04_IND_JAX,2004-10-03,JAX,IND,09:02:40,9,2,40
2004_04_KC_BAL,2004-10-04,BAL,KC,17:08:46,17,8,46
2004_04_NE_BUF,2004-10-03,BUF,NE,09:03:15,9,3,15
2004_04_NO_ARI,2004-10-03,ARI,NO,09:05:17,9,5,17
2004_04_NYG_GB,2004-10-03,GB,NYG,08:03:49,8,3,49
2004_04_NYJ_MIA,2004-10-03,MIA,NYJ,12:15:05,12,15,5
2004_04_OAK_HOU,2004-10-03,HOU,LV,08:02:02,8,2,2
2004_04_PHI_CHI,2004-10-03,CHI,PHI,08:03:08,8,3,8
2004_04_TEN_SD,2004-10-03,LAC,TEN,09:15:01,9,15,1
2004_04_WAS_CLE,2004-10-03,CLE,WAS,09:02:38,9,2,38
2004_05_ARI_SF,2004-10-10,SF,ARI,09:15:18,9,15,18
2004_05_BUF_NYJ,2004-10-10,NYJ,BUF,12:06:30,12,6,30
2004_05_CAR_DEN,2004-10-10,DEN,CAR,10:15:24,10,15,24
2004_05_CLE_PIT,2004-10-10,PIT,CLE,09:02:29,9,2,29
2004_05_DET_ATL,2004-10-10,ATL,DET,09:03:05,9,3,5
2004_05_JAX_SD,2004-10-10,LAC,JAX,09:05:09,9,5,9
2004_05_MIA_NE,2004-10-10,NE,MIA,09:02:51,9,2,51
2004_05_MIN_HOU,2004-10-10,HOU,MIN,08:02:36,8,2,36
2004_05_NYG_DAL,2004-10-10,DAL,NYG,08:03:12,8,3,12
2004_05_OAK_IND,2004-10-10,IND,LV,08:02:27,8,2,27
2004_05_STL_SEA,2004-10-10,SEA,LA,09:15:29,9,15,29
2004_05_TB_NO,2004-10-10,NO,TB,08:03:46,8,3,46
2004_06_CAR_PHI,2004-10-17,PHI,CAR,09:04:18,9,4,18
2004_06_CIN_CLE,2004-10-17,CLE,CIN,09:02:33,9,2,33
2004_06_DEN_OAK,2004-10-17,LV,DEN,10:38:00,10,38,0
2004_06_GB_DET,2004-10-17,DET,GB,09:03:00,9,3,0
2004_06_HOU_TEN,2004-10-17,TEN,HOU,08:02:14,8,2,14
2004_06_KC_JAX,2004-10-17,JAX,KC,09:02:09,9,2,9
2004_06_MIA_BUF,2004-10-17,BUF,MIA,09:03:10,9,3,10
2004_06_MIN_NO,2004-10-17,NO,MIN,15:36:06,15,36,6
2004_06_PIT_DAL,2004-10-17,DAL,PIT,11:15:25,11,15,25
2004_06_SD_ATL,2004-10-17,ATL,LAC,09:02:28,9,2,28
2004_06_SEA_NE,2004-10-17,NE,SEA,09:02:25,9,2,25
2004_06_SF_NYJ,2004-10-17,NYJ,SF,09:02:51,9,2,51
2004_06_WAS_CHI,2004-10-17,CHI,WAS,08:02:44,8,2,44
2004_07_ATL_KC,2004-10-24,KC,ATL,08:02:25,8,2,25
2004_07_BUF_BAL,2004-10-24,BAL,BUF,09:02:22,9,2,22
2004_07_CHI_TB,2004-10-24,TB,CHI,09:02:55,9,2,55
2004_07_DAL_GB,2004-10-24,GB,DAL,11:14:48,11,14,48
2004_07_DEN_CIN,2004-10-25,CIN,DEN,17:09:17,17,9,17
2004_07_DET_NYG,2004-10-24,NYG,DET,09:13:35,9,13,35
2004_07_JAX_IND,2004-10-24,IND,JAX,08:02:29,8,2,29
2004_07_NO_OAK,2004-10-24,LV,NO,09:15:36,9,15,36
2004_07_NYJ_NE,2004-10-24,NE,NYJ,12:05:58,12,5,58
2004_07_PHI_CLE,2004-10-24,CLE,PHI,09:02:49,9,2,49
